"","city","year","month","sales","volume","median","inventory"
"1","San Antonio",2000,1,820,98974924,90900,4.7
"2","San Antonio",2000,2,1075,120851076,86000,4.7
"3","San Antonio",2000,3,1433,167748201,87000,4.9
"4","San Antonio",2000,4,1263,145280248,90200,5
"5","San Antonio",2000,5,1574,183281564,91200,5
"6","San Antonio",2000,6,1666,210779154,100100,5
"7","San Antonio",2000,7,1508,185816640,100500,4.9
"8","San Antonio",2000,8,1626,195515195,93400,5.2
"9","San Antonio",2000,9,1300,156643797,94800,5.2
"10","San Antonio",2000,10,1192,141630200,93500,5.2
"11","San Antonio",2000,11,1125,133453386,94100,5
"12","San Antonio",2000,12,1008,122995362,96800,4.9
"13","San Antonio",2001,1,945,105646984,87900,4.9
"14","San Antonio",2001,2,1109,138259169,96900,5.1
"15","San Antonio",2001,3,1483,183435869,97300,5.2
"16","San Antonio",2001,4,1372,161665350,93300,5.2
"17","San Antonio",2001,5,1634,203486532,102300,5.3
"18","San Antonio",2001,6,1760,224534548,104600,5.4
"19","San Antonio",2001,7,1616,201460434,100900,5.4
"20","San Antonio",2001,8,1635,207082026,102400,5.2
"21","San Antonio",2001,9,1159,142851660,98500,5.2
"22","San Antonio",2001,10,1242,156272648,96400,5.1
"23","San Antonio",2001,11,1155,146607645,98200,4.8
"24","San Antonio",2001,12,1152,148611204,108000,4.6
"25","San Antonio",2002,1,884,107359952,100500,4.9
"26","San Antonio",2002,2,1096,139391844,104000,5
"27","San Antonio",2002,3,1327,171773437,100400,5.2
"28","San Antonio",2002,4,1339,170085516,102100,5.3
"29","San Antonio",2002,5,1651,220873783,108700,5.3
"30","San Antonio",2002,6,1496,204189254,112700,5.5
"31","San Antonio",2002,7,1552,207497163,111000,5.6
"32","San Antonio",2002,8,1577,201741215,103200,5.6
"33","San Antonio",2002,9,1308,167698544,105600,5.5
"34","San Antonio",2002,10,1320,175532446,107800,5.5
"35","San Antonio",2002,11,1148,154316196,106700,5.4
"36","San Antonio",2002,12,1283,176796636,112900,5.2
"37","San Antonio",2003,1,1018,129687322,101100,5.4
"38","San Antonio",2003,2,1136,149846603,108800,5.5
"39","San Antonio",2003,3,1380,182266602,105500,5.7
"40","San Antonio",2003,4,1488,203687322,111900,5.8
"41","San Antonio",2003,5,1611,225024783,114500,6
"42","San Antonio",2003,6,1806,272373704,125500,6.1
"43","San Antonio",2003,7,1782,259955959,120600,6
"44","San Antonio",2003,8,1814,256734550,120500,5.9
"45","San Antonio",2003,9,1584,212298452,111600,5.9
"46","San Antonio",2003,10,1497,195694922,108100,5.7
"47","San Antonio",2003,11,1245,172870150,110800,5.5
"48","San Antonio",2003,12,1501,207608035,114200,5.3
"49","San Antonio",2004,1,1028,134983218,107100,5.6
"50","San Antonio",2004,2,1275,171117643,108300,5.7
"51","San Antonio",2004,3,1700,230223523,114400,5.7
"52","San Antonio",2004,4,1695,233034760,112500,5.7
"53","San Antonio",2004,5,1865,272339465,121800,5.7
"54","San Antonio",2004,6,2284,354062864,126900,5.6
"55","San Antonio",2004,7,2106,314642414,124200,5.5
"56","San Antonio",2004,8,2035,300836609,124000,5.3
"57","San Antonio",2004,9,1716,248621950,120700,5.3
"58","San Antonio",2004,10,1624,228302392,117900,NA
"59","San Antonio",2004,11,1474,215851592,118100,NA
"60","San Antonio",2004,12,1691,245485643,121500,NA
"61","San Antonio",2005,1,1265,174252814,114900,4.9
"62","San Antonio",2005,2,1450,213938995,121400,4.9
"63","San Antonio",2005,3,1958,280364246,121600,5
"64","San Antonio",2005,4,1922,285284008,125900,5
"65","San Antonio",2005,5,2310,367241928,130700,4.9
"66","San Antonio",2005,6,2504,408234678,135700,4.9
"67","San Antonio",2005,7,2239,353272225,134600,4.8
"68","San Antonio",2005,8,2547,411025907,135500,4.4
"69","San Antonio",2005,9,2224,357574000,136700,4.2
"70","San Antonio",2005,10,1915,307933563,129700,4.1
"71","San Antonio",2005,11,1815,289868415,134500,3.9
"72","San Antonio",2005,12,1885,307867259,139200,3.8
"73","San Antonio",2006,1,1420,222767576,130400,3.9
"74","San Antonio",2006,2,1705,267312785,130400,3.9
"75","San Antonio",2006,3,2354,382533514,135900,3.9
"76","San Antonio",2006,4,2070,337955174,135800,4
"77","San Antonio",2006,5,2557,439980205,140800,4
"78","San Antonio",2006,6,2812,499747796,147500,4
"79","San Antonio",2006,7,2568,459221882,146100,4
"80","San Antonio",2006,8,2547,438795181,143300,4.1
"81","San Antonio",2006,9,2245,375555039,139100,4.2
"82","San Antonio",2006,10,1960,330988924,137900,4.4
"83","San Antonio",2006,11,1919,323268760,141700,4.3
"84","San Antonio",2006,12,2012,356849507,147500,4.2
"85","San Antonio",2007,1,1421,240444609,142400,4.4
"86","San Antonio",2007,2,1701,299078925,143100,4.8
"87","San Antonio",2007,3,2139,371754181,145700,5
"88","San Antonio",2007,4,2107,380162073,145000,5.3
"89","San Antonio",2007,5,2478,447033120,147200,5.7
"90","San Antonio",2007,6,2443,472051800,157200,6
"91","San Antonio",2007,7,2372,438039518,152300,6.1
"92","San Antonio",2007,8,2409,450041817,151500,6.1
"93","San Antonio",2007,9,1885,335779547,146600,6.2
"94","San Antonio",2007,10,1722,296749662,144400,6.4
"95","San Antonio",2007,11,1591,280035900,145000,6.2
"96","San Antonio",2007,12,1689,306775579,148500,5.9
"97","San Antonio",2008,1,1235,211772275,140400,6.2
"98","San Antonio",2008,2,1546,263763769,143000,6.4
"99","San Antonio",2008,3,1723,309989598,147900,6.8
"100","San Antonio",2008,4,1744,322794620,152300,7.1
"101","San Antonio",2008,5,1909,356613490,151700,7.4
"102","San Antonio",2008,6,2096,405778671,157800,7.6
"103","San Antonio",2008,7,1890,350623890,153400,7.9
"104","San Antonio",2008,8,1799,331904853,150200,8
"105","San Antonio",2008,9,1655,292644119,144500,7.9
"106","San Antonio",2008,10,1423,262507655,144300,8
"107","San Antonio",2008,11,1040,186039791,142600,8
"108","San Antonio",2008,12,1311,232910019,141500,7.6
"109","San Antonio",2009,1,859,158719852,145900,7.8
"110","San Antonio",2009,2,1156,202274184,142300,8.1
"111","San Antonio",2009,3,1372,235903850,143800,8.4
"112","San Antonio",2009,4,1501,271181155,147900,8.5
"113","San Antonio",2009,5,1667,306809171,151600,8.5
"114","San Antonio",2009,6,1953,369817472,156100,8.5
"115","San Antonio",2009,7,2044,380490533,158600,8.4
"116","San Antonio",2009,8,1803,324885177,147800,8.2
"117","San Antonio",2009,9,1610,279600204,146500,8
"118","San Antonio",2009,10,1751,292424481,138700,7.7
